employer_name,job_title,job_description,job_city,Python,R,SQL,Java,Scala,C++,JavaScript,Excel,Power BI,Tableau,SAS,Apache Spark,Redshift,BigQuery,Airflow,Snowflake
Mastercard,Software Engineer II | Data Engineer,"Our Purpose

We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.

Job Title

Software Engineer II | Data Engineer

Who is Mastercard?
Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.
Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Overview
The Enterprise Data Solutions team is looking for a Big Data Engineer to drive our mission to unlock potential of data assets by consistently innovating, eliminating friction in how users access data from its Big Data repositories and enforce standards and principles in the Big Data space. The candidate will be part of an exciting, fast paced environment developing Data Engineering solutions in the data and analytics domain.

Role
• Develop high quality, secure and scalable data pipelines using spark, Scala/ python on Hadoop or object storage.
• Leverage new technologies and approaches to innovate with increasingly large data sets.
• Drive automation and efficiency in Data ingestion, data movement and data access workflows by innovation and collaboration.
• Contribute ideas to help ensure that required standards and processes are in place and actively look for opportunities to enhance standards and improve process efficiency.
• Perform assigned tasks and support production incidents.

All About You
• 4+ years of experience in Data Warehouse related projects in product or service-based organization
• Expertise in Data Engineering and implementing multiple end-to-end DW projects in Big Data environment
• Experience of building data pipelines through Spark with Scala/Python/Java on Hadoop or Object storage
• Experience of working with Databases like Oracle, Netezza and have strong SQL knowledge
• Experience of working on Nifi will be an added advantage
• Strong analytical skills required for debugging production issues, providing root cause and implementing mitigation plan
• Strong communication skills - both verbal and written
• Ability to be high-energy, detail-oriented, proactive and able to function under pressure in an independent environment along with a high degree of initiative and self-motivation to drive results
• Flexibility to work as a member of a matrix based diverse and geographically distributed project teams

Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",Pune,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Narwal,Senior Data Engineer,"Hello There, Good Day!

I'm Gowtham from Narwalinc. We are a niche technology company with a specialization in the recruitment of IT professionals. One of our customers is looking for a Data Engineer

Job Description:

Developer/engineer who is experienced in data integration from source systems to target systems (like a data warehouse) leveraging ETL/ELT technologies as well as streaming technologies.

Required Skills:

• 5+ years of hands-on experience leveraging Snowflake platform and its ecosystem of tools

• 5+ years of hands-on experience leveraging Informatica Power Center in the context of ETL/ELT to take data from Oracle Data Warehouse to Snowflake

• 5+ years of experience with data integration from Data Lake/Data Warehouse to Snowflake

• Extremely comfortable with SQL.

• Very good communication and presentation skills

• Must be a self-starter, takes initiative, actively collaborates with team members to solve problems

• Ability to actively contribute and be productive with minimum supervision.

• Willing to work overlapping US EST hours - 2 PM to 11 PM IST (for India employees, should be available till noon EST.)

• Work remotely.

Preferred Skills:

• Experience with Matillion data integration platform

• Experience with Streamsets for data integration pipelines

• Experience with CI/CD processes.",,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Plume Design,Senior Data Engineer,"Plume’s Cloud Platform team is looking for engineers to build and operate data pipelines that power the gamut of Plume products and analytics. Due to the massive scale and performance requirements of many of our use cases, you will be solving challenging problems on a daily basis using a variety of cutting edge technologies.

What you will do:
• Interact with stakeholders to gather and understand data requirements
• Design and implement data pipelines with high data quality goals
• Maintain up-to-date documentation of data warehouse schemas
• Write clean, maintainable code, and perform peer code-reviews
• Refactor code as needed to improve performance and simplify operations
• Provide production support in triaging and fixing issues relating to data quality and availability
• Mentor and assist junior team members and new hires to become successful and productive
• Adhere to data protection requirements including data access, retention, residency and de-identification
• Play an integral role in driving the technology roadmap and enhancing best practices

What You’ll Bring
• Education Requirements: BS/MS/PhD in Computer Science, Electrical Engineering or related technical field
• 5+ years of software development experience with a proven track record of building, scaling, and supporting production data pipelines
• High proficiency in writing idiomatic code, preferably in Java or Scala
• High proficiency in writing SQL in data warehousing technologies
• Strong understanding of large-scale data processing technologies, e.g. Apache Spark (preferred) or Apache Flink
• Strong understanding of data warehousing concepts
• Strong analytical and problem-solving skills
• Strong oral and written communication skills

Plume Design focuses on Internet Service Providers and Cloud Data Services. Their company has offices in Palo Alto. They have a mid-size team that's between 51-200 employees. To date, Plume Design has raised $37.5M of funding; their latest round was closed on June 2017.

You can view their website at https://platform.plume.com or find them on Twitter, Facebook, and LinkedIn.",Hyderabad,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
Lilly,Data Engineer - (DT) Business Insights & Analytics,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.

Business Insights and Analytics: Data Engineer

At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease. We’re looking for people who are determined to make life better for people around the world.

The LCCI (Lilly Capability Center India), BI&A (Business Insights & Analytics) team was started in 2017 with the objective of supporting business decisions for the commercial and marketing functions in the US and ex-US affiliates. This team is part of the LCCI - Commercial Services organization and works very closely with business analytics team based in Indianapolis (HQ). The team currently comprises of more than 100 staff members, with varied backgrounds and skills across data management, analytics and data sciences, business and commercial operations etc.

To better meet the evolving analytics needs, the LCCI BI&A team is ramping up the data engineering pillar. We are looking for data engineers who can be play integral role in developing, maintaining, and testing infrastructures for data generation, processing and storage; work closely with data scientists and help architecting solutions with the objective of driving right KPIs for the business.

Core Responsibilities:
• Create and maintain optimal data pipeline architecture ETL/ ELT into Structured data
• Assemble large, complex data sets that meet functional / non-functional business requirements and create and maintain multi-dimensional modelling like Star Schema and Snowflake Schema, normalization, de-normalization, joining of datasets.
• Expert level experience creating Fact tables, Dimensional tables and ingest datasets into Cloud based tools. Job Scheduling, automation experience is must.
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
• Setup and maintain data ingestion, streaming, scheduling, and job monitoring automation. Connectivity between Lambda, Glue, S3, Redshift, Power BI needs to be maintained for uninterrupted automation.
• Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and “big data” technologies like AWS and Google
• Build analytics tools that utilize the data pipeline to provide actionable insight into customer acquisition, operational efficiency, and other key business performance metrics
• Work with cross-functional teams including external consultants and IT teams to assist with data-related technical issues and support their data infrastructure needs
• Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader

Experience Required
• 4-8 years of in-depth hands-on experience in data warehousing (Redshift or any OLAP) to support business/data analytics, business intelligence (BI)
• Advanced knowledge of SQL and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases and Cloud Data warehouses
• Data Model development, additional Dims and Facts creation and creating views and procedures, enable programmability to facilitate Automation
• Data compression into PARQUET to improve processing and finetuning SQL programming skills required
• Experience building and optimizing “big data” data pipelines, architectures and data sets
• Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
• Strong analytic skills related to working with structured and unstructured datasets
• Experience with manipulating, processing, and extracting value from large unrelated datasets
• Working knowledge of message queuing, stream processing, and highly scalable “big data” stores
• Strong analytical and problem-solving skills to be able to structure and solve open ended business problems (pharma experience is highly preferred)

Education
• Bachelor’s/ Master’s degree in Technology OR Computer Sciences

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.

#WeAreLilly",Bengaluru,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
Visa,Lead Data Engineer,"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.

When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.

Join Visa: A Network Working for Everyone.

Job Description

New Payment Flows (NPF) division’s charter is to capture new sources of money movement through card and non-card flows, including Visa Business Solutions, Government Solutions and Visa Direct which presents an enormous growth opportunity. Our team brings payment solutions and associated services to clients around the globe. Our global clients and partners deploy our solutions to serve the needs of Small Businesses, Middle Market Clients, Large Corporate Clients, Multi Nationals and Governments.

The Visa Business Solutions (VBS) and Visa Government Solutions (VGS) team is a world-class technology organization experiencing tremendous, double-digit growth as we expand products into new payment flows and continue to grow our core card solutions. This is an incredibly exciting team to join as we expand globally.

Essential Functions
• Strong technology and leadership background building enterprise scale applications using Scala/Java, Spring, REST APIs, RDBMS, and Angular/React. Machine Learning, Data Engineering (Hadoop, Hive, Spark), NoSQL, Kafka, Streaming and Data Pipelines desirable.
• Design and deploy data and pipeline management frameworks built on top of open-source components, including Hadoop, Hive, Spark, HBase, Kafka streaming and other Big Data technologies.
• Champion Design and Coding best practices while technically leading a small team.
• Experience with Continuous Integration and Automated Test tools such as Jenkins, Artifactory, Git, Selenium, Chef desirable
• Familiarity or experience with data mining, data science, machine learning and statistical modeling (e.g., regression modeling, clustering techniques, decision trees, etc.) is preferred
• Responsible for the design and implementation of an innovative, scalable, and distributed systems that take advantage of technology to allow standardization, security, timeliness and quality of data.
• Work with and manage remote teams
• Work with product managers in developing a strategy and road map to provide compelling capabilities that helps them succeed in their business goals.
• Work closely with senior engineers to develop the best technical design and approach for new product development.
• Instill best practices for software development and documentation, assure designs meet requirements, and deliver high quality work on tight schedules.
• Project management: prioritization, planning of projects and features, stakeholder management and tracking of external commitments
• Operational Excellence: monitoring & operation of production services
• Identify opportunities for further enhancements and refinements to standards and processes.
• Mentor junior team members, develop departmental procedures and best practices standards.
• Hire and retain world class talents to deliver data platform projects.
• Strong Negotiation Skills: You will be a distinguished ambassador for product development, collaborating, negotiating, managing tradeoffs and evaluating opportunistic new ideas with business partners

This is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office 2-3 set days a week (determined by leadership/site), with a general guidepost of being in the office 50% or more of the time based on business needs.

Qualifications

• Bachelor degree in a technical field such as computer science, computer engineering or related field required. Advanced degree preferred
• Requires 10+ years of experience, at least 3 of which were in leading engineering teams
• 6+ years of hands-on experience in Hadoop using Core Java Programming, Spark, Scala, Hive, PIG scripts, Sqoop, Streaming, Kafka any ETL tool exposure
• Strong knowledge of Database concepts and UNIX
• Strong knowledge on CI/CD and engineering efficiency tools including code coverage
• Experience in handling very large data volume in low latency and/or batch mode
• Proven experience delivering large scale, highly available production software
• Ability to handle multiple competing priorities in a fast-paced environment
• A deep understanding of end-to-end software development in a team, and a track record of shipping software on time
• Payment processing background desirable but not required
• Experience working in an Agile and Test-Driven Development environment.
• Strong business and technical vision
• Outstanding verbal, written, presentation, facilitation, and interaction skills, including ability to effectively communicate architectural issues and concepts to multiple organization levels and executive management
• Quick learner, self-starter, detailed and work with minimal supervision

Additional Information

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.",Bengaluru,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
GE,Senior Data Engineer,"Job Description Summary
GE HealthCare is on a transformational journey leveraging Data and Analytics to drive business growth. GE HealthCare is looking for Senior Data Engineer who will be responsible for building and implementing the data ETL pipelines for Finance function data (from data ingestion to consumption).The Data Engineering team helps solve our customers' toughest challenges leveraging data and analytics. The Senior Data Engineer will work with the team to create state-of-the-art data and analytics driven solutions, working across GE HealthCare to drive business analytics to a new level of predictive analytics while leveraging On-prem, Cloud Platform, Big data tools and technologies.

GE HealthCare is a leading global medical technology and digital solutions innovator. Our purpose is to create a world where healthcare has no limits. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.

Job Description

In this role you will:
• Responsible for building data and analytical engineering solutions with standard end to end design & ETL patterns, implementing data pipelines, data modelling and overseeing overall data quality.
• Responsible to work with cross functional teams in GEHC to make the data usable for functional users, data scientists and application users to enable delivery of business values to customers.
• Responsible to enable access of data in AWS storage layers and transformations in AWS Datawarehouse and further transporting in respective databases, consumers, data marts etc.
• As a Senior Data Engineer, you will be part of a data engineering or cross-disciplinary team on Finance facing development projects, typically involving large, complex data sets. These teams typically include data engineers, data visualization engineers, architects, data scientists, product managers, and end users, working in cohorts with partners in GE business units.
• Implement Data warehouse entities with common re-usable data model designs with automation and data quality capabilities.
• Demonstrate proficiency at industry standard data modeling tools (e.g., Erwin, ER Studio, etc.).
• Integrate domain data knowledge into development of data requirements.
• Develop processing codebase using pySpark and implement medium to complex transformations, business logics.
• Look across multiple systems, understands the purpose of each system and defines data requirements by systems.
• Identify downstream implications of data loads/migration (e.g., data quality, regulatory, etc.)
• Lead other horizontal improvement initiatives to benefit technology and leap further on a problem area or Hackathon etc
• Establish and maintain as a trusted advisor relationship within GE Healthcare Data & Analytics (Finance Function)
• Establish and maintain close working relationships with teams responsible for delivering solutions to the businesses and functions
• Engage collaboratively with project teams to support project objectives through the application of sound data engineering principles
• Identify risks and assumptions for the in scope Data & Analytics solutions
• Work with the contract/vendor resources to deliver the solution and manage the technical resources work

Qualifications
• Bachelor's Degree in Computer Science, Information Technology or equivalent (STEM)
• A minimum of 6 year of similar experience working on Database(s), SQL, Python, Datawarehouse, Java, ETL and AWS cloud platform is required. AWS certifications would be added advantage
• Experienced in Deployment process on-prem and on-cloud using Kubernetes, Dockers, Jenkins
• Ability to drive projects in big data (structured/unstructured/machine/logs/streaming data types)
• 3+ Year of Data modelling & Data warehousing experience with MPP systems (Teradata, Netezza, Greenplum etc.)
• 3+ years in AWS Services Like Redshift, RDS, S3, Glue, Step Function, Lambda etc.
• Hands on experience in delivering analytics in modern data architecture (Massively Parallel Processing Database Platforms and Semantic Modelling)
• Demonstrable knowledge of ETL and ELT patterns and when to use either one; experience selecting among different tools that could be leveraged to accomplish this. (i.e. Informatica, HVR, Talend etc)
• Demonstrable knowledge of and experience with different scripting languages (python, shell)
• Understands data quality and solves for application-level needs
• Understanding of DaaS, Data management tools / solutions
• Strong verbal & written communication
• Experience working with solutions delivery teams using Agile/Scrum ore similar methodologies
• Added advantage if experienced in working on Finance data

Desired skills:
• Delivers results when working on shorter-term (weeks-months), outcome-focused service engagements
• Proactively learning new technology, predicts trends, and identifies new opportunities based on trends
• Leverages knowledge about technology trends, and changing business needs across the broad environment to bring new ideas to the team
• Articulates the value proposition of existing technology capabilities and maps them to customer requirements to minimize incremental cost of development
• Experienced in working with On-prem (Teradata) data warehouse – Dimensional and data modelling. Experienced in one of the ETL like Informatica.
• Identifies the customer’s business and strategic needs, concerns, and desires for the value delivery capabilities of the Product
• Functional understanding of finance - Close Book, Treasury, Cash, Controllership, Credit, Account Payables, Account Receivables, Cash Forecasting, Balance sheet exposure, Debt, Forex etc.

Inclusion and Diversity

GE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership – always with unyielding integrity.

Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.
#LI-Hybrid
#LI-GM2

Additional Information

Relocation Assistance Provided: Yes",Bengaluru,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
Concinnity Media Technologies,Senior Data Engineer,"Preferred Experience:

• 8+ years’ experience building mobile, web and/or API-based applications

• Follow engineering standards and best practices

• Knowledge of databases: MySQL, PostgreSQL, SQL, etc...

• 4+ years of Python server development experience

• Django, Flask, Bottle, or similar framework experience

• 2+ years industry experience

• Knowledge of cloud deployment strategies using AWS, Azure, Rackspace, etc.

• Expertise working with and building RESTful APIs

• Ability to operate in Agile / Scrum development environments

• Understanding of OOP and Data Structures and know when to apply them in daily coding scenarios

• Knowledge in the following web-technologies:
• JavaScript
• HTML & HTML5
• CSS3
• JavaScript frameworks (React, Angular, Next.js, etc.)

• Understand the development of the following:
• Responsive Web Development
• Accessibility
• Secure web applications

• Message queue implementations (RabbitMQ, ZeroMQ, Kafka, etc.)

• Background task processing (Celery, etc.)

• Experience configuring container like systems (Vagrant, Docker, etc.)

• Container orchestration with Kubernetes

• Ability to self-organize with minimal guidance/competing priorities and work effectively within a team

• Ability to provide innovative, creative solutions to tasks/problems

• Ability to complete work following engineering standards and best practices

• Experience with GIT and Gitlab is a plus

• Experience with JSON is a plus",,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
Hewlett Packard Careers,Data Engineer,"HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.

At HP, the future is yours to create!

The Data Engineer will develop, test, and maintain Big Data solutions for a company. Gather large amounts of data from multiple sources and ensure that downstream users can access the data quickly and efficiently. Essentially, the company’s data pipelines are scalable, secure, and able to serve multiple users.

Job description
• Meeting with managers to determine the company’s Big Data needs.
• Developing Hadoop systems.
• Loading disparate data sets and conducting pre-processing services using Spark, Hive or Pig.
• Finalizing the scope of the system and delivering Big Data solutions.
• Managing the communications between the internal system and the vendor.
• Collaborating with the software research and development teams.
• Building cloud platforms for the development of company applications.
• Maintaining production systems.
• Training staff on data management.

Big Data Engineer Requirements:
• Bachelor’s degree in computer engineering or computer science.
• Previous experience as a big data engineer.
• In-depth knowledge of Hadoop, Spark, and similar frameworks.
• Knowledge of scripting languages is preferred .
• Knowledge of NoSQL and RDBMS databases including Redis and MongoDB.
• Familiarity with Mesos, AWS, and Docker tools.
• Excellent project management skills.
• Good communication skills.
• Ability to solve complex data, and software issues.

Education and Experience Required:
• Typically, 6+ years of progressive professional experience as a big data engineer.
• Bachelor’s degree in computer engineering or computer science.

We love our work environment. We think you will too:
• It’s a friendly atmosphere with supportive leaders to bring your creativity to the max.
• Work-life balance support including flex-time arrangements and work from home opportunities.
• Corporate Social Responsibility initiatives to help you make an impact to communities at large.

Sustainable impact is HP’s commitment to create positive, lasting change for the planet, its people, and our communities. This serves as a guiding principle for delivering on our corporate vision – to create technology that makes life better for everyone, everywhere.

HP is a Human Capital Partner – we commit to human capital development and adopting progressive workplace practices in India.

#LI-POST

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So
are we. We love taking on tough challenges, disrupting the status quo,
and creating what’s next. We’re in search of talented people who are
inspired by big challenges, driven to learn and grow, and dedicated to
making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is
respected and where people can be themselves, while being a part of
something bigger than themselves. We celebrate the notion that you can
belong at HP and bring your authentic self to work each and every day.
When you do that, you’re more innovative and that helps grow our bottom
line. Come to HP and thrive!",Bengaluru,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Omnivio,Data Engineer - Full Time,"Job Profile

Omnivio is a startup in the Supply Chain and Logistics domain. We help retailers deliver an 'Amazon like' shopping experience to their customers. We optimize and manage delivery times and cost, inventory, geo-distributed stores etc. One of the core pieces of our infrastructure is the data engineering required to get data from various upstream systems into a data model that we use for intelligence. If you've worked in data engineering before, you might imagine that this has a good number of challenging engineering problems. We are looking for junior to mid level data engineers to join our team.

Experience / Skills required

We are looking for previous experience in data engineering for this role. Here's a list of tools and technologies that you can expect to be working with in this job. The listed examples are not necessarily all a part of our stack, but they are solid indicators of your skills being a good fit for the job.
• Relational Databases, both OLTP and OLAP, such as MySQL, Postgres, Redshift, BigQuery, CLickhouse etc
• Solid software engineering fundamentals, and experience with one or more general purpose programming languages such as Python, Typescript
• Data engineering programming libraries such as Pandas, NumPy etc
• Building data engineering pipelines using orchestration tools such as Airflow, Airbyte, Temporal, or other commercial offerings
• Transformations using dbt, or a similar alternative
• Experience with AWS's data engineering stack is definitely a plus
• Deployment/operating experience with any of these tools would be really interesting too

Work culture
• No ego anywhere in the team, including higher management.
• Remote, asynchronous, flexible work timings.
• Collaboration and team-thinking. No single person owns the failure.
• Ample time and attention to help developers level up.

Work Ex - 3+ years

Omnivio focuses on Supply Chain Management, Logistics, Cloud Infrastructure, Logistics Software, and Logistics / Transportation / Shipping. Their company has offices in Noida. They have a small team that's between 11-50 employees. To date, Omnivio has raised $400k of funding; their latest round was closed on July 2022 at a valuation of $5M.

You can view their website at https://omnivio.io or find them on LinkedIn.",,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False
Mercedes-Benz Research and Development India Private Limited,Big Data Engineer,"AufgabenBackground

Mercedes Benz cars are equipped with Advanced Driver Assistance Systems (ADAS) and continuously new features/technologies are added in these systems to add more intelligence in them. The development or the customer cars then collect various vehicle, sensor and environment data. These vehicles at the end of their test drives or upon satisfying some trigger conditions will upload different sensor and vehicle data that are logged in binary formats (in TBs) into a Big Data cluster. The data engineering team has the responsibility to provide a 24x7 pipeline, which will ingest the data to the cluster, extract and transform to readable format. This data is further analysed and the performance of the ADAS systems are monitored.

Skill Requirements:
Essential Skills and experience:
- Excellent Programming skills in Python with object oriented design
- Experience in designing solution for business applications and deployment of the same.
- Hands on experience in working with relational SQL and noSQL DB, postgres, mongoDB etc.
- Hands on experience on developing ETL solutions on Big Data Clusters like MAPR Clusters
- Hands on experience in workflow schedulers like Airflow etc.,
- Good knowledge on microservices is desired
- Experience with Docker containers is a plus.
- Experience in creation of CI/CD pipeline is an added advantage
- Working experience on the cloud environment Azure, AWS is an added advantage
- Excellent problem solving skills
- Experience in the automotive field and exposure of multi-cultural environment is an added advantage
Key Job Responsibilities:
- Architecting, developing and deploying end to end pipeline to ingest various ADAS systems data into the clusters
- Develop scalable solutions and improve efficiency and the reliability of the existing application
- Develop and deploy new features based on the business need
- Ideates and improvises on the requirements through continuous innovation and application of new techniques and methods
- Understand new features requirement from counterparts, breakdown of task and participate in planning
- Good communication skills and ability to work in & contribute as a good team playerQualifikationenBackground

Mercedes Benz cars are equipped with Advanced Driver Assistance Systems (ADAS) and continuously new features/technologies are added in these systems to add more intelligence in them. The development or the customer cars then collect various vehicle, sensor and environment data. These vehicles at the end of their test drives or upon satisfying some trigger conditions will upload different sensor and vehicle data that are logged in binary formats (in TBs) into a Big Data cluster. The data engineering team has the responsibility to provide a 24x7 pipeline, which will ingest the data to the cluster, extract and transform to readable format. This data is further analysed and the performance of the ADAS systems are monitored.

Skill Requirements:
Essential Skills and experience:
- Excellent Programming skills in Python with object oriented design
- Experience in designing solution for business applications and deployment of the same.
- Hands on experience in working with relational SQL and noSQL DB, postgres, mongoDB etc.
- Hands on experience on developing ETL solutions on Big Data Clusters like MAPR Clusters
- Hands on experience in workflow schedulers like Airflow etc.,
- Good knowledge on microservices is desired
- Experience with Docker containers is a plus.
- Experience in creation of CI/CD pipeline is an added advantage
- Working experience on the cloud environment Azure, AWS is an added advantage
- Excellent problem solving skills
- Experience in the automotive field and exposure of multi-cultural environment is an added advantage
Key Job Responsibilities:
- Architecting, developing and deploying end to end pipeline to ingest various ADAS systems data into the clusters
- Develop scalable solutions and improve efficiency and the reliability of the existing application
- Develop and deploy new features based on the business need
- Ideates and improvises on the requirements through continuous innovation and application of new techniques and methods
- Understand new features requirement from counterparts, breakdown of task and participate in planning
- Good communication skills and ability to work in & contribute as a good team player",Bengaluru,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
